fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,target,pH_normalized,sulfate_to_chloride_ratio,density_deviation
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,5,0.1499999999999999,0.7482993197278912,0.0013999999999999568
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,5,0.14000000000000012,0.7948717948717949,0.0013999999999999568
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,0.010000000000000231,0.6868131868131868,0.0030999999999999917
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,5,0.20000000000000018,0.9356725146198831,0.0031999999999999806
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4,0.06999999999999984,0.4604051565377532,0.0026000000000000467
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6,0.27,0.8053691275167786,0.0030999999999999917
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6,0.08000000000000007,0.4921077065923863,0.0031999999999999806
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5,0.20999999999999996,0.6007393715341959,0.0018000000000000238
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,0.14000000000000012,0.8227848101265822,0.0033999999999999586
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,0.14000000000000012,0.488929889298893,0.0031999999999999806
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,0.1200000000000001,0.5806451612903226,0.0031999999999999806
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,0.029999999999999805,0.5185185185185185,0.0044999999999999485
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,0.03000000000000025,0.5462962962962963,0.0038000000000000256
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,0.14000000000000012,0.8227848101265822,0.0033999999999999586
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,0.16000000000000014,0.5092592592592593,0.0028000000000000247
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6,0.06999999999999984,0.5452865064695008,0.0036000000000000476
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,0.040000000000000036,0.4958677685950414,0.0041999999999999815
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6,0.1499999999999999,0.5158371040723981,0.0033999999999999586
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,0.14000000000000012,0.6094182825484765,0.0033999999999999586
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6,0.14000000000000012,0.4846225535880709,0.0007000000000000339
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,0.06999999999999984,0.49864007252946513,0.0042999999999999705
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6,0.08999999999999986,0.5064456721915286,0.0013999999999999568
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,0.10999999999999988,0.5524861878453038,0.0024999999999999467
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,0.08000000000000007,0.6848030018761726,0.0031999999999999806
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,4,0.18999999999999995,0.40955631399317405,0.006000000000000005
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,0.020000000000000018,0.7728119180633146,0.0021999999999999797
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,0.020000000000000018,0.7728119180633146,0.0021999999999999797
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4,0.050000000000000266,0.46875,0.0023999999999999577
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,6,0.10000000000000009,0.6756756756756757,0.0031999999999999806
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,0.010000000000000231,1.1225444340505144,0.0031999999999999806
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,0.16999999999999993,0.49523809523809526,0.0038000000000000256
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,4,0.5899999999999999,0.5313092979127135,0.00660000000000005
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5,0.06000000000000005,0.6552962298025133,0.0030000000000000027
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5,0.06000000000000005,0.5211141060197664,0.0030999999999999917
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5,0.029999999999999805,0.525328330206379,0.0041999999999999815
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,0.009999999999999787,0.5400372439478583,0.0046000000000000485
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,0.16000000000000014,0.6890130353817504,0.0029000000000000137
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,0.08999999999999986,0.5893358278765202,0.0043999999999999595
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,0.08000000000000007,0.599250936329588,0.0044999999999999485
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,0.10999999999999988,0.5180388529139686,0.0030000000000000027
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6,0.14000000000000012,0.5675675675675675,0.0044999999999999485
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5,0.029999999999999805,0.488929889298893,0.0021999999999999797
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,0.27,0.5887850467289719,0.0029000000000000137
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,5,0.050000000000000266,0.6930693069306931,0.0017000000000000348
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,0.1200000000000001,0.5483271375464683,0.0024999999999999467
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,0.10000000000000009,0.5027932960893855,0.0038000000000000256
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,0.1299999999999999,0.5931417979610751,0.0020000000000000018
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5,0.10000000000000009,0.6367713004484304,0.0031999999999999806
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7,0.06999999999999984,0.5714285714285714,0.0031999999999999806
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5,0.08000000000000007,0.5272895467160037,0.0033999999999999586
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,0.10000000000000009,0.3591160220994475,0.0038000000000000256
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,0.10000000000000009,0.3591160220994475,0.0038000000000000256
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5,0.10999999999999988,0.5375347544022243,0.0031999999999999806
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,0.1299999999999999,0.5390334572490706,0.0038000000000000256
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5,0.03000000000000025,0.7355679702048417,0.0030999999999999917
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6,0.029999999999999805,0.8845437616387336,0.0038000000000000256
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,0.009999999999999787,0.5018587360594795,0.0032999999999999696
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5,0.009999999999999787,0.4411764705882352,0.0038000000000000256
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,0.0,0.4428044280442804,0.0039000000000000146
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,0.0,0.488929889298893,0.0023999999999999577
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,5,0.03000000000000025,0.749542961608775,0.0016000000000000458
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,0.22999999999999998,0.6038426349496798,0.0013999999999999568
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,0.22999999999999998,0.6038426349496798,0.0013999999999999568
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,0.20999999999999996,0.49818840579710144,0.0033999999999999586
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,0.06999999999999984,0.47882136279926335,0.0041999999999999815
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,4,0.1499999999999999,1.037037037037037,0.0028000000000000247
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,0.10000000000000009,0.5238540692235735,0.0041999999999999815
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,5,0.18000000000000016,0.8743169398907105,0.0026000000000000467
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5,0.04999999999999982,0.5248618784530386,0.0030000000000000027
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,5,0.1499999999999999,0.8137044967880085,0.0030999999999999917
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,0.1299999999999999,0.7296538821328344,0.0040999999999999925
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,0.10000000000000009,0.5483271375464683,0.0039000000000000146
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,0.3799999999999999,1.7567567567567566,0.0028000000000000247
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,0.08000000000000007,0.6026365348399246,0.0033999999999999586
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,5,0.16999999999999993,1.1020776874435412,0.0021999999999999797
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,0.16999999999999993,0.49256505576208176,0.0021999999999999797
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,0.08000000000000007,0.5004633920296572,0.0036000000000000476
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,0.3799999999999999,1.7567567567567566,0.0028000000000000247
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,5,0.3799999999999999,1.7837837837837835,0.0028000000000000247
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,0.08000000000000007,0.6026365348399246,0.0033999999999999586
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,4,0.43999999999999995,0.45933014354066987,0.006199999999999983
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,6,0.54,0.5671077504725898,0.006800000000000028
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,0.14000000000000012,0.5081669691470054,0.0034999999999999476
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,5,0.06000000000000005,0.5887850467289719,0.0037000000000000366
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5,0.08000000000000007,0.5189990732159407,0.0032999999999999696
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,0.010000000000000231,0.5462962962962963,0.0028000000000000247
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6,0.08999999999999986,0.562730627306273,0.0028000000000000247
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6,0.0,0.5209302325581396,0.0040999999999999925
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,0.010000000000000231,0.5462962962962963,0.0028000000000000247
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,0.020000000000000018,0.4735376044568245,0.0032999999999999696
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,0.020000000000000018,0.44859813084112143,0.0040000000000000036
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,0.020000000000000018,0.4735376044568245,0.0032999999999999696
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,5,0.22999999999999998,0.8929788684389911,0.0027000000000000357
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,0.1499999999999999,0.7261029411764706,0.0030999999999999917
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,6,0.06000000000000005,0.7332722273143906,0.0023999999999999577
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5,0.10000000000000009,0.6149732620320856,0.0030999999999999917
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,0.1200000000000001,0.842391304347826,0.0036000000000000476
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5,0.16000000000000014,0.6088560885608856,0.0036000000000000476
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5,0.16000000000000014,0.6082949308755761,0.0036000000000000476
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,0.009999999999999787,0.6203703703703703,0.0011999999999999789
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,0.1200000000000001,0.842391304347826,0.0036000000000000476
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,0.2400000000000002,0.5779816513761468,0.0033999999999999586
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,0.08000000000000007,0.5663881151346333,0.0021999999999999797
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6,0.06000000000000005,0.4621072088724584,0.0030000000000000027
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,0.10000000000000009,0.5361930294906166,0.0038000000000000256
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,6,0.029999999999999805,0.4922515952597995,0.0040999999999999925
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,5,0.010000000000000231,0.48387096774193544,0.0038000000000000256
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,0.10000000000000009,0.5361930294906166,0.0038000000000000256
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,0.18000000000000016,0.4837209302325582,0.0020000000000000018
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5,0.1299999999999999,0.49074074074074076,0.0023999999999999577
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,5,0.08000000000000007,0.44362292051756,0.0040000000000000036
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,5,0.1499999999999999,0.6108202443280978,0.0016000000000000458
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,0.21999999999999975,0.4532839962997225,0.0036000000000000476
8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,5,0.22999999999999998,0.44362292051756,0.0036000000000000476
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7,0.10999999999999988,0.863849765258216,0.0038000000000000256
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,5,0.10999999999999988,0.5317164179104477,0.0044999999999999485
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5,0.06999999999999984,0.5903398926654742,0.0031999999999999806
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,0.31999999999999984,0.6005719733079123,0.006299999999999972
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,0.31999999999999984,0.6005719733079123,0.006299999999999972
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6,0.08999999999999986,0.5471698113207547,0.0048000000000000265
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6,0.08999999999999986,0.507380073800738,0.0040999999999999925
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,0.1200000000000001,0.7522935779816513,0.0034999999999999476
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,0.08000000000000007,0.7070707070707071,0.0031999999999999806
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,0.16999999999999993,0.5920444033302498,0.0028000000000000247
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5,0.020000000000000018,0.4995374653098983,0.0038000000000000256
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,5,0.009999999999999787,0.4995374653098983,0.0038000000000000256
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,0.1200000000000001,0.7522935779816513,0.0034999999999999476
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,0.08000000000000007,0.7070707070707071,0.0031999999999999806
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,0.3700000000000001,0.7523809523809524,0.008399999999999963
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,0.029999999999999805,0.5440900562851781,0.0046000000000000485
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,0.3700000000000001,0.7523809523809524,0.008399999999999963
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,5,0.14000000000000012,0.5550581915846016,0.0031999999999999806
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,0.22999999999999998,0.4783808647654094,0.005600000000000049
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,5,0.20000000000000018,0.6472491909385114,0.0031999999999999806
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,0.10999999999999988,0.5400372439478583,0.0040999999999999925
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,6,0.21999999999999975,0.5601469237832875,0.0024999999999999467
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6,0.020000000000000018,0.4921077065923863,0.0041999999999999815
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4,0.5699999999999998,1.2422360248447206,0.00039999999999995595
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,0.040000000000000036,0.4931506849315069,0.0050000000000000044
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,0.040000000000000036,0.4931506849315069,0.0050000000000000044
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,0.10999999999999988,0.6728971962616822,0.0027000000000000357
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,0.10999999999999988,0.6629318394024276,0.0027000000000000357
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,0.10999999999999988,0.6728971962616822,0.0027000000000000357
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,0.10999999999999988,0.6629318394024276,0.0027000000000000357
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,5,0.16999999999999993,0.4659832246039143,0.0030999999999999917
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6,0.2799999999999998,0.5282669138090824,0.0031999999999999806
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,5,0.10999999999999988,0.5137614678899083,0.0040999999999999925
7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,9.2,4,0.14000000000000012,1.007462686567164,0.0034999999999999476
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6,0.020000000000000018,0.5204460966542751,0.0036000000000000476
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,5,0.06000000000000005,0.4579439252336448,0.0018000000000000238
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5,0.06000000000000005,0.4579439252336448,0.0019000000000000128
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,5,0.1200000000000001,0.5636363636363636,0.0039000000000000146
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,5,0.029999999999999805,0.47926267281105994,0.0043999999999999595
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,9.0,4,0.06000000000000005,0.4477611940298507,0.0043999999999999595
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,6,0.16000000000000014,0.5050505050505051,0.0047000000000000375
7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59,9.5,5,0.31000000000000005,1.1691176470588236,0.0036000000000000476
7.9,0.885,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.33,9.1,4,0.04999999999999982,0.31190926275992437,0.0028000000000000247
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,0.020000000000000018,0.5684995340167754,0.0028000000000000247
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,0.020000000000000018,0.5684995340167754,0.0028000000000000247
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,6,0.10999999999999988,0.5337078651685393,0.0039000000000000146
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5,0.020000000000000018,0.4351851851851851,0.0039000000000000146
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,5,0.040000000000000036,0.7188940092165899,0.0041999999999999815
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5,0.020000000000000018,0.4351851851851851,0.0039000000000000146
7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,6,0.27,0.5611775528978841,0.0028000000000000247
7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,5,0.16999999999999993,0.5243445692883896,0.0030999999999999917
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,0.1200000000000001,0.5529522024367385,0.0030999999999999917
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,0.1200000000000001,0.5529522024367385,0.0030999999999999917
8.9,0.61,0.49,2.0,0.27,23.0,110.0,0.9972,3.12,1.02,9.3,5,0.18999999999999995,0.8031496062992126,0.0028000000000000247
7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,9.3,5,0.1299999999999999,0.483271375464684,0.0028000000000000247
6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,5,0.22999999999999998,0.5385329619312906,0.0029000000000000137
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,6,0.20999999999999996,0.5375347544022243,0.0030000000000000027
