volatile acidity,chlorides,density,sulphates,alcohol,target
0.53,0.121,0.9978,0.74,11.5,7
0.44,0.107,0.998,0.83,11.5,5
0.27,0.082,1.0002,0.67,9.7,6
0.46,0.061,0.9981,0.62,9.5,5
0.36,0.122,0.998,0.66,12.5,6
0.36,0.122,0.998,0.66,12.5,6
0.58,0.066,0.9973,0.54,9.4,6
0.56,0.105,0.9958,0.52,11.0,5
0.65,0.078,0.9963,0.74,11.7,7
0.695,0.128,0.9992,0.84,12.2,7
0.43,0.052,0.9948,0.7,12.5,6
0.43,0.08,0.9974,0.64,10.3,5
0.49,0.103,1.0008,1.0,11.5,6
0.28,0.082,0.9997,1.36,9.8,7
0.34,0.066,1.0,1.18,9.2,6
0.42,0.065,0.9972,0.87,11.3,6
0.39,0.118,0.9982,0.75,9.8,6
0.39,0.118,0.9982,0.75,9.8,6
0.57,0.082,1.0006,0.78,10.7,6
0.685,0.067,0.9979,0.81,9.9,5
0.815,0.072,0.9955,0.89,12.3,7
0.49,0.093,0.9986,0.93,12.0,6
0.56,0.089,0.9979,0.92,10.0,6
0.785,0.093,0.9994,0.86,9.4,6
0.67,0.107,1.0004,0.98,9.9,6
0.795,0.096,0.9994,0.83,9.4,6
0.665,0.09,0.9974,0.73,9.3,5
0.53,0.12,1.0018,0.77,13.0,5
0.21,0.066,0.9912,0.59,11.9,6
0.75,0.078,0.9955,0.61,12.8,6
0.41,0.08,1.0001,0.88,11.0,5
0.42,0.116,0.997,0.75,11.7,7
0.43,0.109,1.0,0.85,10.4,7
0.38,0.088,1.001,0.68,9.8,6
0.7,0.099,0.9973,0.7,9.4,5
0.45,0.086,0.9982,0.91,9.9,6
0.58,0.072,0.9992,0.56,10.0,5
0.46,0.071,0.9988,0.87,10.2,5
0.615,0.083,1.0022,0.73,10.0,7
0.42,0.107,0.9979,0.93,11.8,6
0.615,0.083,1.0022,0.73,10.0,7
0.575,0.076,1.0,0.69,9.0,5
0.34,0.159,0.9998,0.64,9.4,5
0.27,0.074,0.9962,1.13,12.0,7
0.765,0.063,0.9975,0.78,9.9,5
0.24,0.056,0.9967,0.87,8.7,6
0.28,0.067,0.9967,1.04,10.6,6
0.55,0.106,0.9959,0.63,9.2,5
0.41,0.089,1.0014,0.81,10.8,6
0.54,0.124,0.9984,0.83,11.8,7
0.45,0.078,1.0003,1.11,11.0,6
0.27,0.074,0.9962,1.13,12.0,7
0.625,0.088,0.9988,0.99,13.3,6
0.42,0.094,0.9979,0.7,10.8,6
0.26,0.08,0.9974,0.8,9.4,6
0.415,0.085,1.0014,0.8,10.0,6
0.26,0.08,0.9974,0.8,9.4,6
0.26,0.08,0.9974,0.8,9.4,6
0.51,0.087,0.998,0.74,9.2,5
0.63,0.09,0.9979,0.76,9.7,6
0.54,0.088,0.9981,0.74,9.2,6
0.66,0.079,0.9972,0.54,9.6,6
0.46,0.088,0.9981,0.74,9.2,6
0.38,0.096,0.9982,0.7,10.0,7
0.85,0.045,0.9924,0.82,12.9,8
0.415,0.085,1.0014,0.8,10.0,6
0.37,0.082,0.998,0.51,9.5,5
0.665,0.112,0.997,0.54,9.1,5
0.6,0.063,0.9997,0.57,9.9,5
0.37,0.066,1.0004,0.6,13.0,7
0.735,0.122,0.9994,0.53,9.9,5
0.59,0.087,0.9988,0.65,11.0,6
0.59,0.087,0.9988,0.65,11.0,6
0.765,0.064,0.9963,0.55,9.4,5
0.735,0.122,0.9994,0.53,9.9,5
0.26,0.059,0.9949,0.47,10.8,6
0.48,0.085,1.0,0.61,10.5,6
0.6,0.085,0.9994,0.63,10.5,6
0.69,0.075,0.9974,0.61,9.1,5
0.31,0.059,0.9966,0.76,10.1,6
0.44,0.063,0.9981,0.65,10.8,6
0.39,0.093,0.9996,0.63,10.8,7
0.34,0.174,0.997,0.7,11.3,6
0.46,0.07,0.9981,0.57,9.6,4
0.43,0.08,0.9987,0.62,9.5,6
0.45,0.08,0.9987,0.62,9.5,5
0.735,0.1,0.9966,0.64,9.3,5
0.4,0.097,0.9986,0.82,11.7,7
0.52,0.087,0.9982,0.61,9.5,5
0.725,0.117,1.0014,1.07,9.3,5
0.48,0.111,0.997,0.66,11.7,6
0.58,0.091,0.9956,0.48,10.5,5
0.38,0.121,0.9996,0.76,10.4,6
0.77,0.066,0.9976,0.68,9.9,5
0.56,0.089,0.9972,0.73,11.8,7
0.84,0.059,0.9952,0.56,12.3,7
0.96,0.047,0.9955,0.44,10.9,5
0.24,0.066,0.9978,0.9,11.0,7
0.96,0.047,0.9955,0.44,10.9,5
0.84,0.059,0.9952,0.56,12.3,7
0.67,0.045,0.9949,0.49,11.4,6
0.78,0.077,0.9988,0.56,10.6,6
0.52,0.07,0.9978,0.6,9.3,5
0.84,0.088,0.9997,0.6,10.4,6
0.24,0.066,0.9978,0.9,11.0,7
0.55,0.074,0.9974,0.56,9.2,5
0.37,0.078,0.9958,0.65,12.8,6
0.39,0.091,1.0004,0.49,9.5,5
0.41,0.076,0.9996,0.89,9.9,6
0.39,0.091,1.0004,0.49,9.5,5
0.67,0.06,0.9958,0.56,10.2,6
0.45,0.066,0.9986,0.66,11.2,6
0.41,0.076,0.9996,0.89,9.9,6
0.62,0.062,0.9951,0.6,9.3,5
0.31,0.072,0.9987,0.82,9.8,8
0.4,0.068,0.9988,0.68,11.3,6
0.685,0.1,1.0032,0.68,11.2,7
0.44,0.077,0.9963,0.63,11.6,7
0.57,0.054,0.9934,0.84,12.5,7
0.735,0.079,0.9986,0.56,10.1,6
0.38,0.081,0.9996,0.73,10.5,5
0.48,0.127,0.9968,0.72,11.2,5
0.53,0.1,0.9967,0.56,10.2,6
0.39,0.095,0.9994,0.61,10.8,6
0.39,0.095,0.9994,0.61,10.8,6
0.37,0.413,0.9979,1.06,9.1,6
0.56,0.084,0.9968,0.63,10.0,6
0.33,0.084,0.9998,0.74,11.2,7
0.23,0.063,0.9952,0.63,11.1,5
0.62,0.086,0.9988,0.69,13.4,8
0.59,0.095,0.9986,0.58,10.3,5
0.63,0.097,0.9988,0.58,9.6,5
0.33,0.084,0.9998,0.74,11.2,7
0.58,0.074,1.0008,0.57,9.0,3
0.43,0.083,0.9976,0.61,11.3,6
0.615,0.087,0.9982,0.61,9.3,5
0.26,0.085,0.997,0.61,11.8,5
0.66,0.098,0.9972,0.53,9.0,5
0.315,0.084,0.9987,0.7,9.2,6
0.29,0.098,1.0006,0.91,9.7,5
0.5,0.069,0.9982,0.72,11.5,6
0.46,0.065,0.9947,0.79,14.0,6
0.36,0.09,1.0,0.62,9.2,6
0.82,0.07,0.9952,0.58,9.8,5
0.32,0.093,0.9996,0.61,10.6,5
0.54,0.081,0.997,0.71,11.4,6
0.37,0.083,0.9995,0.82,10.4,6
0.35,0.062,0.9971,0.79,10.6,5
0.28,0.08,0.9982,0.89,9.4,6
0.68,0.087,0.9988,0.6,10.2,5
0.27,0.091,0.998,0.7,9.7,5
0.24,0.075,0.9977,1.06,11.0,6
0.68,0.087,0.9988,0.6,10.2,5
0.685,0.077,0.9984,0.7,10.1,6
0.28,0.069,1.0026,0.66,9.2,5
0.3,0.08,0.9964,0.92,11.7,8
0.36,0.152,0.9986,1.05,9.4,5
0.36,0.152,0.9986,1.06,9.4,5
0.44,0.114,0.997,0.66,13.4,6
0.67,0.054,0.9976,0.47,10.0,5
0.67,0.054,0.9976,0.47,10.0,5
0.645,0.053,0.9982,0.42,10.0,6
0.32,0.081,1.0002,0.92,10.8,7
0.39,0.073,0.9984,0.75,10.2,6
0.775,0.078,0.9984,0.67,10.6,6
0.41,0.055,0.9952,0.79,13.3,7
0.4,0.052,0.995,0.9,13.4,7
0.69,0.086,1.0002,0.74,11.6,6
0.39,0.051,0.9952,0.55,12.1,6
0.35,0.07,0.9972,0.65,11.0,8
0.52,0.081,0.9984,0.65,9.0,6
0.34,0.09,0.9966,0.79,11.1,5
0.35,0.07,0.9972,0.65,11.0,8
0.69,0.086,1.0002,0.74,11.6,6
0.52,0.081,0.9984,0.65,9.0,6
0.44,0.074,0.999,0.85,12.0,7
0.44,0.074,0.999,0.85,12.0,7
0.26,0.078,0.9976,1.04,10.9,7
0.24,0.077,0.9976,1.05,10.8,7
0.49,0.072,0.9968,0.78,12.5,7
0.24,0.075,0.9976,1.02,10.8,7
0.67,0.084,1.0,0.71,9.5,6
0.59,0.09,0.9994,0.63,10.2,6
0.29,0.084,0.9986,0.68,11.4,7
0.42,0.073,0.9978,0.61,9.5,5
0.59,0.09,0.9994,0.63,10.2,6
0.4,0.125,0.998,0.81,9.7,6
0.51,0.107,0.9973,0.66,11.8,7
0.51,0.107,0.9973,0.66,11.8,7
0.655,0.122,1.001,1.14,9.3,5
0.6,0.1,1.001,0.74,11.9,6
0.61,0.2,0.9994,0.63,8.4,3
0.21,0.088,0.9972,0.68,11.7,6
0.365,0.088,0.9966,0.78,11.0,5
0.25,0.088,0.9982,0.9,10.0,6
0.41,0.088,0.998,0.64,9.1,5
0.39,0.099,0.9979,0.99,9.8,5
0.4,0.085,0.9978,0.55,9.4,5
0.43,0.086,0.9976,0.64,9.5,5
0.64,0.105,0.9998,0.67,9.9,5
0.365,0.088,0.9966,0.78,11.0,5
0.38,0.097,0.9962,0.77,11.4,6
0.42,0.084,0.9988,0.75,8.7,6
0.63,0.077,0.9974,0.57,9.4,5
0.22,0.078,0.999,0.87,10.3,6
0.38,0.098,1.0004,0.61,10.3,5
0.38,0.098,1.0004,0.61,10.3,5
0.27,0.072,0.9956,0.66,12.8,6
0.48,0.102,1.0,0.56,10.0,6
0.22,0.078,0.999,0.87,10.3,6
0.63,0.077,0.9974,0.57,9.4,5
0.825,0.084,0.9972,0.77,10.7,6
0.35,0.066,1.0014,0.66,12.0,7
0.5,0.1,0.9996,0.62,11.2,5
0.59,0.101,0.9988,0.67,9.6,5
0.46,0.064,0.9988,0.73,11.0,6
0.715,0.07,0.9966,0.59,9.9,5
0.66,0.085,0.9993,0.72,11.0,6
0.31,0.075,1.0008,0.79,8.4,6
0.47,0.094,0.9982,0.59,9.1,5
0.55,0.078,0.9983,0.78,9.5,6
0.31,0.067,0.9987,0.86,10.7,6
0.35,0.079,0.9994,0.75,10.4,6
0.53,0.171,0.9975,0.61,9.4,6
0.51,0.074,0.9958,0.56,9.5,6
0.43,0.092,0.998,0.73,10.0,6
0.46,0.092,0.998,0.74,10.0,6
1.04,0.05,0.9934,0.62,11.5,5
0.645,0.095,1.00315,0.74,11.1,5
0.645,0.095,1.00315,0.74,11.1,5
0.53,0.118,1.0002,0.56,11.7,6
0.645,0.095,1.00315,0.74,11.1,5
0.53,0.118,1.0002,0.56,11.7,6
0.47,0.085,1.0021,0.68,12.7,6
0.6,0.075,0.9994,0.57,11.4,5
0.44,0.078,0.9978,0.58,9.2,5
0.54,0.094,0.9982,0.61,9.2,5
0.29,0.092,0.9971,0.61,10.1,6
0.47,0.085,1.0021,0.68,12.7,6
0.6,0.075,0.9994,0.57,11.4,5
0.7,0.226,0.9991,0.6,9.0,6
0.7,0.226,0.9991,0.6,9.0,6
0.5,0.25,0.999,0.79,10.7,6
0.36,0.095,0.9946,0.57,11.7,6
0.35,0.07,1.0003,0.91,11.0,6
0.36,0.095,0.9946,0.57,11.7,6
0.24,0.075,0.9978,0.61,10.4,5
0.59,0.07,0.9991,0.56,9.6,4
0.34,0.078,0.9992,0.7,10.0,6
0.27,0.079,0.9993,0.8,10.2,6
0.5,0.103,0.9978,0.52,10.0,4
0.44,0.083,0.9982,0.6,9.5,5
0.47,0.085,0.9982,0.6,9.8,5
0.31,0.063,0.9976,0.51,9.8,6
0.5,0.089,1.0002,0.44,9.6,5
0.5,0.089,1.0002,0.44,9.6,5
0.49,0.083,1.0,0.43,9.2,5
0.28,0.074,0.9976,0.66,9.9,7
0.33,0.093,1.0002,0.76,10.7,7
0.51,0.091,0.998,0.66,9.6,6
0.31,0.094,0.9986,1.02,10.6,7
0.73,0.108,0.9967,0.59,9.3,5
0.42,0.06,0.9917,0.74,14.0,8
0.29,0.059,0.9976,0.74,10.5,7
0.45,0.084,0.9987,0.57,9.7,5
0.39,0.07,0.9922,0.5,11.5,6
0.45,0.084,0.9987,0.57,9.7,5
0.49,0.094,1.0004,0.58,9.0,5
0.72,0.096,0.9978,0.53,9.5,5
0.595,0.086,0.9998,0.57,9.3,5
0.4,0.059,0.9994,0.6,9.3,6
0.58,0.071,0.998,0.63,10.0,6
0.585,0.078,0.9967,0.48,9.8,6
0.59,0.082,1.0,0.7,9.3,6
0.915,0.088,0.9962,0.47,10.0,4
0.46,0.071,1.0006,0.56,9.0,6
0.835,0.081,0.9975,0.52,9.3,5
0.46,0.071,1.0006,0.56,9.0,6
0.58,0.096,0.9984,0.62,9.1,6
0.6,0.085,0.9984,0.59,9.2,6
0.41,0.072,0.9973,0.79,12.2,7
0.48,0.092,0.9982,0.53,10.5,6
0.65,0.11,1.0026,0.64,10.4,6
