fixed acidity,volatile acidity,sulphates,alcohol,target,sulfate_to_chloride_ratio
5.8,0.68,0.52,10.0,5,0.4783808647654094
7.6,0.49,0.8,9.3,5,0.6472491909385114
6.9,0.49,0.58,10.2,6,0.5400372439478583
8.2,0.4,0.61,10.5,6,0.5601469237832875
7.3,0.33,0.53,10.3,6,0.4921077065923863
9.2,0.52,2.0,9.4,4,1.2422360248447206
7.5,0.6,0.54,10.1,5,0.4931506849315069
7.5,0.6,0.54,10.1,5,0.4931506849315069
7.1,0.43,0.72,10.5,5,0.6728971962616822
7.1,0.43,0.71,10.5,5,0.6629318394024276
7.1,0.43,0.72,10.5,5,0.6728971962616822
7.1,0.43,0.71,10.5,5,0.6629318394024276
7.1,0.68,0.5,9.3,5,0.4659832246039143
6.8,0.6,0.57,9.3,6,0.5282669138090824
7.6,0.95,0.56,9.6,5,0.5137614678899083
7.6,0.68,1.08,9.2,4,1.007462686567164
7.8,0.53,0.56,10.0,6,0.5204460966542751
7.4,0.6,0.49,9.4,5,0.4579439252336448
7.3,0.59,0.49,9.4,5,0.4579439252336448
7.8,0.63,0.62,9.5,5,0.5636363636363636
6.8,0.64,0.52,10.2,5,0.47926267281105994
7.3,0.55,0.48,9.0,4,0.4477611940298507
6.8,0.63,0.55,10.4,6,0.5050505050505051
7.5,0.705,1.59,9.5,5,1.1691176470588236
7.9,0.885,0.33,9.1,4,0.31190926275992437
8.0,0.42,0.61,9.2,6,0.5684995340167754
8.0,0.42,0.61,9.2,6,0.5684995340167754
7.4,0.62,0.57,11.5,6,0.5337078651685393
7.3,0.38,0.47,9.5,5,0.4351851851851851
6.9,0.5,0.78,9.5,5,0.7188940092165899
7.3,0.38,0.47,9.5,5,0.4351851851851851
7.5,0.52,0.61,10.5,6,0.5611775528978841
7.0,0.805,0.56,9.6,5,0.5243445692883896
8.8,0.61,0.59,9.5,5,0.5529522024367385
8.8,0.61,0.59,9.5,5,0.5529522024367385
8.9,0.61,1.02,9.3,5,0.8031496062992126
7.2,0.73,0.52,9.3,5,0.483271375464684
6.8,0.61,0.58,9.3,5,0.5385329619312906
6.7,0.62,0.58,9.3,6,0.5375347544022243
8.9,0.31,0.53,9.7,5,0.4770477047704771
7.4,0.39,0.55,9.2,5,0.5083179297597042
7.7,0.705,0.49,9.7,5,0.45202952029520294
7.9,0.5,0.55,9.5,5,0.507380073800738
7.9,0.49,0.55,9.5,5,0.5083179297597042
8.2,0.5,0.62,9.4,5,0.5756731662024142
6.4,0.37,0.62,9.8,6,0.5772811918063314
6.8,0.63,0.61,9.5,5,0.5550500454959054
7.6,0.55,0.55,9.7,5,0.5135387488328665
7.6,0.55,0.55,9.7,5,0.5135387488328665
7.8,0.59,0.54,9.4,5,0.5027932960893855
7.3,0.58,0.59,10.2,5,0.5493482309124766
11.5,0.3,0.97,10.1,6,0.9090909090909091
5.4,0.835,0.85,13.0,7,0.8126195028680688
6.9,1.09,0.43,11.4,4,0.4052780395852969
9.6,0.32,0.82,10.3,7,0.7765151515151514
8.8,0.37,1.03,9.3,5,0.9389243391066545
6.8,0.5,0.79,9.5,5,0.7348837209302326
7.0,0.42,0.55,9.2,5,0.5055147058823529
7.0,0.43,0.56,9.2,6,0.5142332415059688
12.8,0.3,0.77,10.8,7,0.7031963470319635
12.8,0.3,0.77,10.8,7,0.7031963470319635
7.8,0.57,0.53,9.3,5,0.4957904583723106
7.8,0.44,0.67,9.4,5,0.6090909090909091
11.0,0.3,0.88,10.5,7,0.8349146110056925
9.7,0.53,0.86,12.4,6,0.8277189605389799
8.0,0.725,0.56,10.0,6,0.5170821791320407
11.6,0.44,0.67,10.2,6,0.6326723323890463
8.2,0.57,0.43,10.1,5,0.40566037735849053
7.8,0.735,0.71,9.8,6,0.6501831501831501
7.0,0.49,0.76,10.5,5,0.7169811320754716
8.7,0.625,0.57,11.0,5,0.5177111716621253
8.1,0.725,0.55,9.1,5,0.5130597014925373
7.5,0.49,0.54,9.7,5,0.5018587360594795
7.8,0.53,0.6,9.5,5,0.5555555555555555
7.8,0.34,0.59,9.4,6,0.5452865064695008
7.4,0.53,0.57,9.4,5,0.5177111716621253
6.8,0.61,0.6,9.5,5,0.5676442762535477
8.6,0.645,0.6,10.0,6,0.554016620498615
8.4,0.635,0.57,10.4,4,0.5234159779614325
7.7,0.43,0.58,10.5,6,0.5405405405405406
8.9,0.59,1.61,9.5,6,1.2041884816753927
9.0,0.82,0.63,9.8,5,0.578512396694215
7.7,0.43,0.58,10.5,6,0.5405405405405406
6.9,0.52,0.5,11.0,5,0.46253469010175763
5.2,0.48,0.62,12.2,7,0.5882352941176471
8.0,0.38,0.52,9.9,6,0.4823747680890538
8.5,0.37,0.7,9.6,6,0.6422018348623852
6.9,0.52,0.5,11.0,5,0.46253469010175763
8.2,1.0,0.55,9.0,6,0.5164319248826291
7.2,0.63,0.58,9.0,6,0.5287146763901549
7.2,0.63,0.58,9.0,6,0.5287146763901549
7.2,0.645,0.58,9.2,6,0.5287146763901549
7.2,0.63,0.58,9.0,6,0.5287146763901549
8.2,1.0,0.55,9.0,6,0.5164319248826291
8.9,0.635,1.09,9.3,5,0.8630245447347586
12.0,0.38,0.71,10.9,6,0.6495882891125343
7.7,0.58,0.49,9.8,6,0.4446460980036297
15.0,0.21,0.84,9.2,7,0.7813953488372093
15.0,0.21,0.84,9.2,7,0.7813953488372093
7.3,0.66,0.96,9.9,6,0.8856088560885608
7.1,0.68,0.52,9.5,5,0.4837209302325582
8.2,0.6,0.45,9.3,5,0.41977611940298504
7.7,0.53,0.48,9.8,6,0.44692737430167595
7.3,0.66,0.96,9.9,6,0.8856088560885608
10.8,0.32,0.78,10.0,6,0.7337723424270932
7.1,0.6,0.7,9.9,6,0.6517690875232773
11.1,0.35,0.53,10.5,5,0.4862385321100917
7.7,0.775,0.59,9.5,5,0.5402930402930403
7.1,0.6,0.7,9.9,6,0.6517690875232773
8.0,0.57,0.57,9.3,5,0.5312208760484622
9.4,0.34,0.62,9.2,5,0.5767441860465117
6.6,0.695,0.67,9.2,5,0.6232558139534884
7.7,0.41,1.26,9.4,5,0.782122905027933
10.0,0.31,0.8,10.5,7,0.7373271889400922
7.9,0.33,0.65,9.3,5,0.6035283194057568
7.0,0.975,0.6,9.4,4,0.5519779208831647
8.0,0.52,0.57,10.0,5,0.5327102803738317
7.9,0.37,0.67,9.3,5,0.6220984215413186
12.5,0.56,0.87,10.9,5,0.8176691729323308
11.8,0.26,0.72,10.2,7,0.6722689075630253
8.1,0.87,0.72,9.8,4,0.656934306569343
7.9,0.35,0.86,12.8,8,0.797773654916512
6.9,0.54,0.91,9.4,6,0.8449396471680595
11.5,0.18,0.97,10.1,6,0.878623188405797
7.9,0.545,0.67,10.7,6,0.6163753449862006
11.5,0.18,0.97,10.1,6,0.878623188405797
10.9,0.37,0.78,10.1,5,0.7282913165266107
8.4,0.715,0.64,9.4,5,0.5947955390334573
7.5,0.65,0.77,9.4,5,0.707720588235294
7.9,0.545,0.67,10.7,6,0.6163753449862006
6.9,0.54,0.91,9.4,6,0.8449396471680595
11.5,0.18,0.97,10.1,6,0.878623188405797
10.3,0.32,0.82,12.6,8,0.7642124883504193
8.9,0.4,0.77,10.5,7,0.7083716651333947
11.4,0.26,0.82,9.3,6,0.7656395891690009
7.7,0.27,1.08,9.9,7,0.7952871870397643
7.6,0.52,0.57,9.1,5,0.5342080599812559
8.9,0.4,0.77,10.5,7,0.7083716651333947
9.9,0.59,0.71,9.8,5,0.6442831215970961
9.9,0.59,0.71,9.8,5,0.6442831215970961
12.0,0.45,0.76,10.3,6,0.7082945013979497
7.5,0.4,0.7,10.3,6,0.641025641025641
8.7,0.52,0.86,10.6,7,0.7882676443629698
11.6,0.42,0.95,9.2,5,0.8597285067873303
8.7,0.52,0.86,10.6,7,0.7882676443629698
11.0,0.2,0.71,10.5,5,0.5286671630677587
10.4,0.55,0.64,10.3,6,0.5866177818515124
6.9,0.36,0.6,10.1,6,0.5464480874316939
13.3,0.34,0.81,9.5,6,0.7404021937842779
10.8,0.5,0.64,9.5,5,0.5964585274930103
10.6,0.83,0.52,9.9,5,0.47882136279926335
7.1,0.63,0.73,9.6,5,0.6740535549399815
7.2,0.65,0.8,9.7,5,0.7312614259597806
6.9,0.67,0.71,9.6,5,0.6574074074074073
7.5,0.53,0.59,10.7,6,0.5432780847145487
11.1,0.18,0.64,10.1,6,0.599250936329588
8.3,0.705,0.72,10.0,5,0.6593406593406592
7.4,0.67,0.54,9.5,5,0.4553119730185498
8.4,0.65,0.52,9.2,5,0.4676258992805755
10.3,0.53,0.59,9.3,6,0.555032925682032
7.6,0.62,0.52,9.4,5,0.4805914972273567
10.3,0.41,0.62,9.5,6,0.5111294311624072
10.3,0.43,0.63,9.5,6,0.5189456342668863
7.4,0.29,0.53,9.5,6,0.4990583804143126
10.3,0.53,0.59,9.3,6,0.555032925682032
7.9,0.53,0.54,9.4,6,0.503731343283582
9.0,0.46,0.63,9.5,6,0.576395242451967
8.6,0.47,0.53,9.4,5,0.49256505576208176
7.4,0.36,0.68,11.0,5,0.62557497700092
7.1,0.35,0.65,11.0,6,0.593065693430657
9.6,0.56,0.65,10.1,5,0.5898366606170599
9.6,0.77,0.64,10.4,6,0.5914972273567467
9.8,0.66,0.71,11.5,7,0.6555863342566943
9.6,0.77,0.64,10.4,6,0.5914972273567467
9.8,0.66,0.71,11.5,7,0.6555863342566943
9.3,0.61,0.62,9.7,5,0.5688073394495412
7.8,0.62,0.63,9.3,5,0.5838739573679333
10.3,0.59,0.7,9.5,6,0.6422018348623852
10.0,0.49,0.69,9.2,6,0.6442577030812324
10.0,0.49,0.69,9.2,6,0.6442577030812324
11.6,0.53,0.74,11.5,7,0.6601248884924175
10.3,0.44,0.83,11.5,5,0.7497741644083107
13.4,0.27,0.67,9.7,6,0.6192236598890942
10.7,0.46,0.62,9.5,5,0.58435438265787
10.2,0.36,0.66,12.5,6,0.5882352941176472
10.2,0.36,0.66,12.5,6,0.5882352941176472
8.0,0.58,0.54,9.4,6,0.5065666041275797
8.4,0.56,0.52,11.0,5,0.4705882352941177
7.9,0.65,0.74,11.7,7,0.686456400742115
11.9,0.695,0.84,12.2,7,0.7446808510638296
8.9,0.43,0.7,12.5,6,0.6653992395437262
7.8,0.43,0.64,10.3,5,0.5925925925925926
12.4,0.49,1.0,11.5,6,0.9066183136899365
12.5,0.28,1.36,9.8,7,1.2569316081330868
12.2,0.34,1.18,9.2,6,1.1069418386491556
10.6,0.42,0.87,11.3,6,0.8169014084507042
10.9,0.39,0.75,9.8,6,0.670840787119857
10.9,0.39,0.75,9.8,6,0.670840787119857
11.9,0.57,0.78,10.7,6,0.7208872458410351
7.0,0.685,0.81,9.9,5,0.7591377694470479
6.6,0.815,0.89,12.3,7,0.8302238805970149
13.8,0.49,0.93,12.0,6,0.8508691674290944
9.6,0.56,0.92,10.0,6,0.844811753902663
9.1,0.785,0.86,9.4,6,0.786825251601098
10.7,0.67,0.98,9.9,6,0.8852755194218609
9.1,0.795,0.83,9.4,6,0.7572992700729926
7.7,0.665,0.73,9.3,5,0.6697247706422018
13.5,0.53,0.77,13.0,5,0.6875
6.1,0.21,0.59,11.9,6,0.5534709193245778
6.7,0.75,0.61,12.8,6,0.5658627087198516
11.5,0.41,0.88,11.0,5,0.8148148148148148
10.5,0.42,0.75,11.7,7,0.6720430107526881
11.9,0.43,0.85,10.4,7,0.7664562669071235
12.6,0.38,0.68,9.8,6,0.625
8.2,0.7,0.7,9.4,5,0.6369426751592356
8.6,0.45,0.91,9.9,6,0.8379373848987108
11.9,0.58,0.56,10.0,5,0.5223880597014926
12.5,0.46,0.87,10.2,5,0.8123249299719888
12.8,0.615,0.73,10.0,7,0.6740535549399815
10.0,0.42,0.93,11.8,6,0.8401084010840109
12.8,0.615,0.73,10.0,7,0.6740535549399815
10.4,0.575,0.69,9.0,5,0.641263940520446
10.3,0.34,0.64,9.4,5,0.5522001725625539
9.4,0.27,1.13,12.0,7,1.0521415270018621
6.9,0.765,0.78,9.9,5,0.7337723424270932
7.9,0.24,0.87,8.7,6,0.8238636363636364
9.1,0.28,1.04,10.6,6,0.9746954076850984
7.4,0.55,0.63,9.2,5,0.5696202531645569
14.0,0.41,0.81,10.8,6,0.7438016528925621
11.5,0.54,0.83,11.8,7,0.7384341637010675
11.5,0.45,1.11,11.0,6,1.0296846011131726
9.4,0.27,1.13,12.0,7,1.0521415270018621
11.4,0.625,0.99,13.3,6,0.9099264705882352
8.3,0.42,0.7,10.8,6,0.639853747714808
8.3,0.26,0.8,9.4,6,0.7407407407407407
13.7,0.415,0.8,10.0,6,0.7373271889400922
8.3,0.26,0.8,9.4,6,0.7407407407407407
8.3,0.26,0.8,9.4,6,0.7407407407407407
7.7,0.51,0.74,9.2,5,0.6807727690892365
7.4,0.63,0.76,9.7,6,0.6972477064220183
7.8,0.54,0.74,9.2,6,0.6801470588235293
8.3,0.66,0.54,9.6,6,0.5004633920296572
7.8,0.46,0.74,9.2,6,0.6801470588235293
9.6,0.38,0.7,10.0,7,0.6386861313868613
5.6,0.85,0.82,12.9,8,0.784688995215311
13.7,0.415,0.8,10.0,6,0.7373271889400922
9.5,0.37,0.51,9.5,5,0.47134935304990755
8.4,0.665,0.54,9.1,5,0.4856115107913669
12.7,0.6,0.57,9.9,5,0.5362182502351834
12.0,0.37,0.6,13.0,7,0.5628517823639775
6.6,0.735,0.53,9.9,5,0.47237076648841364
11.5,0.59,0.65,11.0,6,0.5979760809567618
11.5,0.59,0.65,11.0,6,0.5979760809567618
8.7,0.765,0.55,9.4,5,0.5169172932330828
6.6,0.735,0.53,9.9,5,0.47237076648841364
7.7,0.26,0.47,10.8,6,0.4438149197355996
12.2,0.48,0.61,10.5,6,0.5622119815668203
11.4,0.6,0.63,10.5,6,0.5806451612903226
7.7,0.69,0.61,9.1,5,0.5674418604651162
8.7,0.31,0.76,10.1,6,0.7176581680830973
9.8,0.44,0.65,10.8,6,0.6114769520225777
12.0,0.39,0.63,10.8,7,0.576395242451967
10.4,0.34,0.7,11.3,6,0.596252129471891
12.5,0.46,0.57,9.6,4,0.5327102803738317
9.0,0.43,0.62,9.5,6,0.5740740740740741
9.1,0.45,0.62,9.5,5,0.5740740740740741
7.1,0.735,0.64,9.3,5,0.5818181818181818
9.9,0.4,0.82,11.7,7,0.747493163172288
8.8,0.52,0.61,9.5,5,0.5611775528978841
8.6,0.725,1.07,9.3,5,0.9579230080572964
10.6,0.48,0.66,11.7,6,0.5940594059405941
7.0,0.58,0.48,10.5,5,0.4399633363886343
11.9,0.38,0.76,10.4,6,0.6779661016949152
6.8,0.77,0.68,9.9,5,0.6378986866791745
9.5,0.56,0.73,11.8,7,0.6703397612488522
6.6,0.84,0.56,12.3,7,0.5288007554296507
7.7,0.96,0.44,10.9,5,0.42024832855778416
10.5,0.24,0.9,11.0,7,0.8442776735459662
7.7,0.96,0.44,10.9,5,0.42024832855778416
6.6,0.84,0.56,12.3,7,0.5288007554296507
6.4,0.67,0.49,11.4,6,0.4688995215311005
9.5,0.78,0.56,10.6,6,0.519962859795729
9.1,0.52,0.6,9.3,5,0.5607476635514018
12.8,0.84,0.6,10.4,6,0.551470588235294
10.5,0.24,0.9,11.0,7,0.8442776735459662
7.8,0.55,0.56,9.2,5,0.521415270018622
11.9,0.37,0.65,12.8,6,0.6029684601113172
12.3,0.39,0.49,9.5,5,0.44912923923006415
10.4,0.41,0.89,9.9,6,0.8271375464684014
12.3,0.39,0.49,9.5,5,0.44912923923006415
8.0,0.67,0.56,10.2,6,0.5283018867924528
11.1,0.45,0.66,11.2,6,0.6191369606003753
10.4,0.41,0.89,9.9,6,0.8271375464684014
7.0,0.62,0.6,9.3,5,0.5649717514124293
12.6,0.31,0.82,9.8,8,0.7649253731343283
11.9,0.4,0.68,11.3,6,0.6367041198501873
15.6,0.685,0.68,11.2,7,0.6181818181818182
10.0,0.44,0.63,11.6,7,0.584958217270195
5.3,0.57,0.84,12.5,7,0.7969639468690701
9.5,0.735,0.56,10.1,6,0.5189990732159407
12.5,0.38,0.73,10.5,5,0.6753006475485661
9.3,0.48,0.72,11.2,5,0.6388642413487133
8.6,0.53,0.56,10.2,6,0.5090909090909091
11.9,0.39,0.61,10.8,6,0.5570776255707762
11.9,0.39,0.61,10.8,6,0.5570776255707762
8.4,0.37,1.06,9.1,6,0.7501769285208776
6.8,0.56,0.63,10.0,6,0.5811808118081181
10.4,0.33,0.74,11.2,7,0.6826568265682657
7.0,0.23,0.63,11.1,5,0.5926622765757291
11.3,0.62,0.69,13.4,8,0.6353591160220994
8.9,0.59,0.58,10.3,5,0.5296803652968036
9.2,0.63,0.58,9.6,5,0.5287146763901549
10.4,0.33,0.74,11.2,7,0.6826568265682657
11.6,0.58,0.57,9.0,3,0.5307262569832402
9.2,0.43,0.61,11.3,6,0.5632502308402586
8.3,0.615,0.61,9.3,5,0.5611775528978841
11.0,0.26,0.61,11.8,5,0.5622119815668203
8.1,0.66,0.53,9.0,5,0.482695810564663
11.5,0.315,0.7,9.2,6,0.6457564575645756
10.0,0.29,0.91,9.7,5,0.8287795992714025
10.3,0.5,0.72,11.5,6,0.6735266604303087
8.8,0.46,0.79,14.0,6,0.7417840375586855
11.4,0.36,0.62,9.2,6,0.5688073394495412
8.7,0.82,0.58,9.8,5,0.5420560747663551
13.0,0.32,0.61,10.6,5,0.5580969807868252
9.6,0.54,0.71,11.4,6,0.6567992599444958
12.5,0.37,0.82,10.4,6,0.7571560480147738
9.9,0.35,0.79,10.6,5,0.743879472693032
10.5,0.28,0.89,9.4,6,0.8240740740740741
9.6,0.68,0.6,10.2,5,0.5519779208831647
9.3,0.27,0.7,9.7,5,0.6416131989000916
10.4,0.24,1.06,11.0,6,0.986046511627907
9.6,0.68,0.6,10.2,5,0.5519779208831647
9.4,0.685,0.7,10.1,6,0.6499535747446611
10.6,0.28,0.66,9.2,5,0.617399438727783
9.4,0.3,0.92,11.7,8,0.8518518518518519
10.6,0.36,1.05,9.4,5,0.9114583333333335
10.6,0.36,1.06,9.4,5,0.920138888888889
10.6,0.44,0.66,13.4,6,0.59245960502693
10.2,0.67,0.47,10.0,5,0.44592030360531304
10.2,0.67,0.47,10.0,5,0.44592030360531304
10.2,0.645,0.42,10.0,6,0.39886039886039887
11.6,0.32,0.92,10.8,7,0.8510638297872342
9.3,0.39,0.75,10.2,6,0.6989748369058714
9.3,0.775,0.67,10.6,6,0.62152133580705
9.2,0.41,0.79,13.3,7,0.7488151658767773
8.9,0.4,0.9,13.4,7,0.8555133079847909
8.7,0.69,0.74,11.6,6,0.6813996316758747
6.5,0.39,0.55,12.1,6,0.5233111322549954
10.7,0.35,0.65,11.0,8,0.6074766355140186
7.8,0.52,0.65,9.0,6,0.601295097132285
7.2,0.34,0.79,11.1,5,0.7247706422018348
10.7,0.35,0.65,11.0,8,0.6074766355140186
8.7,0.69,0.74,11.6,6,0.6813996316758747
7.8,0.52,0.65,9.0,6,0.601295097132285
10.4,0.44,0.85,12.0,7,0.7914338919925511
10.4,0.44,0.85,12.0,7,0.7914338919925511
10.5,0.26,1.04,10.9,7,0.9647495361781075
10.5,0.24,1.05,10.8,7,0.9749303621169917
10.2,0.49,0.78,12.5,7,0.7276119402985074
10.4,0.24,1.02,10.8,7,0.9488372093023256
11.2,0.67,0.71,9.5,6,0.654981549815498
10.0,0.59,0.63,10.2,6,0.5779816513761468
13.3,0.29,0.68,11.4,7,0.6273062730627307
12.4,0.42,0.61,9.5,5,0.5684995340167754
10.0,0.59,0.63,10.2,6,0.5779816513761468
10.7,0.4,0.81,9.7,6,0.7200000000000001
10.5,0.51,0.66,11.8,7,0.5962059620596206
10.5,0.51,0.66,11.8,7,0.5962059620596206
8.5,0.655,1.14,9.3,5,1.0160427807486632
12.5,0.6,0.74,11.9,6,0.6727272727272726
10.4,0.61,0.63,8.4,3,0.525
